# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cp_model
# start_datetime = 2022-10-21 18:49:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/rob/.julia/dev/ROSStanPluto/notebooks/Playgrounds/ARM/Radon/tmp/cp_data_4.json
# init = 2 (Default)
# random
#   seed = 51049207 (Default)
# output
#   file = /Users/rob/.julia/dev/ROSStanPluto/notebooks/Playgrounds/ARM/Radon/tmp/cp_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-63-g1ae9de8f
# stancflags = --warn-pedantic --O1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.595044
# Diagonal elements of inverse mass matrix:
# 0.00100222, 0.00563888, 0.000576864
-279.535,0.983343,0.595044,2,3,0,280.223,1.33376,-0.580236,0.812985
-283.396,0.631012,0.595044,2,3,0,284.927,1.35499,-0.507518,0.790013
-280.741,0.972599,0.595044,3,7,0,285.124,1.34033,-0.631341,0.790805
-280.146,0.995935,0.595044,3,7,0,281.2,1.32065,-0.589909,0.797279
-279.859,0.965067,0.595044,3,7,0,280.825,1.31271,-0.606232,0.84255
-282.867,0.742342,0.595044,2,3,0,283.178,1.36509,-0.497349,0.835811
-281.354,1,0.595044,1,1,0,282.746,1.35502,-0.520729,0.829882
-280.355,0.963668,0.595044,2,7,0,281.992,1.30554,-0.681132,0.824484
-279.982,0.990986,0.595044,2,7,0,281.117,1.31281,-0.547726,0.839193
-280.661,0.924216,0.595044,3,7,0,281.318,1.28892,-0.650338,0.819959
-281.561,0.977578,0.595044,3,7,0,282.39,1.32343,-0.465794,0.825001
-279.807,0.918239,0.595044,2,3,0,283.068,1.29636,-0.568245,0.81628
-282.39,0.554811,0.595044,2,5,0,285.695,1.32638,-0.750903,0.852582
-283.046,0.981894,0.595044,2,3,0,283.361,1.32227,-0.744358,0.861433
-281.501,0.977421,0.595044,2,3,0,284.042,1.38296,-0.633563,0.840529
-280,0.95486,0.595044,3,7,0,282.83,1.31515,-0.543313,0.807132
-280.582,0.95411,0.595044,3,7,0,281.64,1.33372,-0.692834,0.799628
