# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = cp_model
# start_datetime = 2022-10-21 18:49:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/rob/.julia/dev/ROSStanPluto/notebooks/Playgrounds/ARM/Radon/tmp/cp_data_3.json
# init = 2 (Default)
# random
#   seed = 51049207 (Default)
# output
#   file = /Users/rob/.julia/dev/ROSStanPluto/notebooks/Playgrounds/ARM/Radon/tmp/cp_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   log_prob_output_file = log_prob_output.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.0-63-g1ae9de8f
# stancflags = --warn-pedantic --O1
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta,sigma
# Adaptation terminated
# Step size = 0.713447
# Diagonal elements of inverse mass matrix:
# 0.000976751, 0.00522, 0.000525655
-279.3,0.928553,0.713447,2,3,0,281.141,1.31888,-0.628164,0.820769
-279.962,0.876978,0.713447,2,3,0,280.682,1.31725,-0.542134,0.808523
-281.023,0.865559,0.713447,3,7,0,281.97,1.33027,-0.698789,0.8515
-282.656,0.812428,0.713447,3,7,0,283.571,1.29914,-0.742653,0.838712
-281.826,0.785491,0.713447,2,3,0,285.958,1.35135,-0.670806,0.864087
-280.203,0.999179,0.713447,2,7,0,281.78,1.31914,-0.609624,0.796214
-279.814,0.850869,0.713447,2,7,0,281.857,1.35196,-0.645566,0.836072
-279.387,0.998806,0.713447,3,7,0,279.834,1.31737,-0.616321,0.813014
-280.783,0.787697,0.713447,3,7,0,282.403,1.30403,-0.667839,0.844752
-280.435,0.792826,0.713447,2,3,0,283.613,1.34787,-0.592447,0.799159
-281.107,0.892328,0.713447,2,7,0,282.908,1.26979,-0.533824,0.820953
-281.138,0.983744,0.713447,3,7,0,282.803,1.35788,-0.739753,0.840151
-279.364,0.994474,0.713447,2,3,0,281.351,1.34005,-0.608029,0.826099
-280.216,0.897407,0.713447,2,3,0,280.754,1.30084,-0.570366,0.843969
-280.646,0.854396,0.713447,3,7,0,282.92,1.30996,-0.493188,0.830818
-280.427,1,0.713447,2,3,0,280.705,1.30729,-0.505156,0.83254
-280.393,0.956089,0.713447,2,7,0,281.827,1.28889,-0.571599,0.806488
